=== Building runtime with case_study_instantiation_time feature ===
=== Building inferlib dependencies ===
=== Building std/text-completion ===
=== Building sdk/examples-inferlib cases ===

============================================================
  text-completion (0 inferlib deps, 1000 runs)
============================================================
  Starting engine... installing deps... warm-up... done.
  Run 1/1000: submitting... store+linker=274.4 us, deps=0.7 us, app=143.5 us, total=419.1 us
  Run 2/1000: submitting... store+linker=253.0 us, deps=0.5 us, app=179.4 us, total=433.3 us
  Run 3/1000: submitting... store+linker=342.2 us, deps=0.5 us, app=156.5 us, total=499.6 us
  Run 4/1000: submitting... store+linker=261.9 us, deps=0.5 us, app=150.1 us, total=412.9 us
  Run 5/1000: submitting... store+linker=243.9 us, deps=0.9 us, app=195.7 us, total=441.1 us
  Run 6/1000: submitting... store+linker=251.5 us, deps=0.3 us, app=166.2 us, total=418.5 us
  Run 7/1000: submitting... store+linker=321.5 us, deps=0.5 us, app=190.4 us, total=512.8 us
  Run 8/1000: submitting... store+linker=155.3 us, deps=0.3 us, app=122.5 us, total=278.3 us
  Run 9/1000: submitting... store+linker=317.8 us, deps=0.6 us, app=165.6 us, total=484.3 us
  Run 10/1000: submitting... store+linker=802.5 us, deps=0.8 us, app=214.9 us, total=1018.8 us
  Run 11/1000: submitting... store+linker=363.4 us, deps=0.7 us, app=176.0 us, total=540.6 us
  Run 12/1000: submitting... store+linker=305.2 us, deps=0.8 us, app=173.8 us, total=480.1 us
  Run 13/1000: submitting... store+linker=235.7 us, deps=0.6 us, app=150.0 us, total=386.7 us
  Run 14/1000: submitting... store+linker=186.7 us, deps=0.5 us, app=119.0 us, total=306.5 us
  Run 15/1000: submitting... store+linker=165.8 us, deps=0.3 us, app=114.2 us, total=280.6 us
  Run 16/1000: submitting... store+linker=336.1 us, deps=0.9 us, app=195.5 us, total=533.0 us
  Run 17/1000: submitting... store+linker=337.3 us, deps=0.4 us, app=183.5 us, total=521.7 us
  Run 18/1000: submitting... store+linker=167.3 us, deps=0.2 us, app=121.0 us, total=288.8 us
  Run 19/1000: submitting... store+linker=305.2 us, deps=0.7 us, app=186.7 us, total=493.0 us
  Run 20/1000: submitting... store+linker=263.3 us, deps=0.8 us, app=160.8 us, total=425.4 us
  Run 21/1000: submitting... store+linker=260.6 us, deps=0.9 us, app=156.1 us, total=418.1 us
  Run 22/1000: submitting... store+linker=352.2 us, deps=0.8 us, app=168.7 us, total=522.4 us
  Run 23/1000: submitting... store+linker=305.0 us, deps=0.8 us, app=190.4 us, total=496.5 us
  Run 24/1000: submitting... store+linker=336.1 us, deps=0.7 us, app=157.6 us, total=495.0 us
  Run 25/1000: submitting... store+linker=327.1 us, deps=0.9 us, app=201.8 us, total=530.4 us
  Run 26/1000: submitting... store+linker=170.8 us, deps=0.4 us, app=125.7 us, total=297.1 us
  Run 27/1000: submitting... store+linker=294.9 us, deps=0.6 us, app=196.3 us, total=492.1 us
  Run 28/1000: submitting... store+linker=314.4 us, deps=0.4 us, app=149.1 us, total=464.4 us
  Run 29/1000: submitting... store+linker=161.0 us, deps=0.3 us, app=114.2 us, total=275.8 us
  Run 30/1000: submitting... store+linker=347.3 us, deps=0.9 us, app=181.7 us, total=530.4 us
  Run 31/1000: submitting... store+linker=361.8 us, deps=1.0 us, app=185.0 us, total=548.7 us
  Run 32/1000: submitting... store+linker=171.0 us, deps=0.4 us, app=131.0 us, total=302.7 us
  Run 33/1000: submitting... store+linker=360.2 us, deps=0.6 us, app=197.8 us, total=559.2 us
  Run 34/1000: submitting... store+linker=385.8 us, deps=0.6 us, app=186.0 us, total=573.0 us
  Run 35/1000: submitting... store+linker=346.0 us, deps=0.7 us, app=204.9 us, total=552.1 us
  Run 36/1000: submitting... store+linker=398.3 us, deps=0.6 us, app=198.7 us, total=598.2 us
  Run 37/1000: submitting... store+linker=383.2 us, deps=0.5 us, app=179.9 us, total=564.1 us
  Run 38/1000: submitting... store+linker=297.1 us, deps=0.8 us, app=211.7 us, total=510.0 us
  Run 39/1000: submitting... store+linker=368.0 us, deps=0.8 us, app=183.9 us, total=553.2 us
  Run 40/1000: submitting... store+linker=390.9 us, deps=0.5 us, app=208.4 us, total=600.4 us
  Run 41/1000: submitting... store+linker=357.5 us, deps=0.7 us, app=185.7 us, total=544.5 us
  Run 42/1000: submitting... store+linker=352.3 us, deps=0.6 us, app=161.8 us, total=515.3 us
  Run 43/1000: submitting... store+linker=354.6 us, deps=0.5 us, app=200.4 us, total=556.1 us
  Run 44/1000: submitting... store+linker=310.3 us, deps=0.7 us, app=161.9 us, total=473.4 us
  Run 45/1000: submitting... store+linker=303.1 us, deps=0.4 us, app=164.2 us, total=468.1 us
  Run 46/1000: submitting... store+linker=422.8 us, deps=1.1 us, app=183.7 us, total=608.4 us
  Run 47/1000: submitting... store+linker=382.8 us, deps=0.8 us, app=204.4 us, total=588.7 us
  Run 48/1000: submitting... store+linker=173.3 us, deps=0.5 us, app=121.8 us, total=295.8 us
  Run 49/1000: submitting... store+linker=347.9 us, deps=0.6 us, app=231.7 us, total=580.7 us
  Run 50/1000: submitting... store+linker=302.9 us, deps=0.5 us, app=210.4 us, total=514.2 us
  Run 51/1000: submitting... store+linker=352.0 us, deps=0.9 us, app=189.1 us, total=542.6 us
  Run 52/1000: submitting... store+linker=302.5 us, deps=0.5 us, app=162.6 us, total=466.1 us
  Run 53/1000: submitting... store+linker=356.2 us, deps=0.6 us, app=198.7 us, total=556.1 us
  Run 54/1000: submitting... store+linker=356.4 us, deps=0.6 us, app=180.7 us, total=538.2 us
  Run 55/1000: submitting... store+linker=317.5 us, deps=0.7 us, app=179.9 us, total=498.6 us
  Run 56/1000: submitting... store+linker=383.1 us, deps=0.6 us, app=181.7 us, total=565.9 us
  Run 57/1000: submitting... store+linker=308.8 us, deps=0.4 us, app=165.7 us, total=475.3 us
  Run 58/1000: submitting... store+linker=321.6 us, deps=0.8 us, app=187.8 us, total=510.9 us
  Run 59/1000: submitting... store+linker=344.5 us, deps=0.6 us, app=170.6 us, total=516.2 us
  Run 60/1000: submitting... store+linker=301.9 us, deps=0.8 us, app=198.4 us, total=501.5 us
  Run 61/1000: submitting... store+linker=346.3 us, deps=0.8 us, app=182.1 us, total=529.7 us
  Run 62/1000: submitting... store+linker=309.4 us, deps=0.8 us, app=176.4 us, total=487.0 us
  Run 63/1000: submitting... store+linker=303.2 us, deps=0.8 us, app=172.2 us, total=476.6 us
